,CustomerID,MonetaryValue,Frequncy,LastInvoiceDate,Recency,Cluster,ClusterLabel,MonetaryValue Per 100 Pounds 
52,12412.0,1142.88,3,2011-09-26 10:16:00,74,3,Upsell Potential,11.4288
53,12413.0,686.1,3,2011-04-17 15:33:00,235,3,Upsell Potential,6.861000000000001
54,12414.0,442.41,3,2011-05-06 14:51:00,216,0,Win-Back Campaign,4.4241
57,12418.0,668.58,1,2011-08-19 11:08:00,112,1,Minimal Effort Group,6.6858
58,12420.0,600.39,1,2011-10-07 08:55:00,63,1,Minimal Effort Group,6.0039
59,12421.0,639.04,4,2011-08-17 10:56:00,114,3,Upsell Potential,6.3904
60,12422.0,683.5600000000001,3,2011-09-05 09:48:00,95,3,Upsell Potential,6.8356
62,12424.0,1760.96,2,2011-06-30 12:06:00,162,3,Upsell Potential,17.6096
63,12425.0,777.2,1,2011-09-22 17:31:00,77,1,Minimal Effort Group,7.772
64,12426.0,510.73,1,2011-05-29 12:26:00,193,0,Win-Back Campaign,5.1073
65,12427.0,699.8,3,2010-12-03 10:44:00,371,0,Win-Back Campaign,6.997999999999999
68,12430.0,216.4,1,2011-10-27 15:09:00,42,1,Minimal Effort Group,2.164
72,12434.0,806.14,2,2011-09-16 12:38:00,83,3,Upsell Potential,8.061399999999999
74,12436.0,429.01000000000005,1,2011-09-01 12:09:00,99,1,Minimal Effort Group,4.290100000000001
77,12441.0,155.55,1,2010-12-08 10:45:00,366,0,Win-Back Campaign,1.5555
78,12442.0,144.06,1,2011-12-06 14:22:00,2,1,Minimal Effort Group,1.4406
80,12445.0,77.4,1,2011-11-17 18:43:00,21,1,Minimal Effort Group,0.774
81,12446.0,1002.3100000000001,1,2011-10-13 12:50:00,56,1,Minimal Effort Group,10.023100000000001
82,12447.0,431.49,1,2011-04-10 13:25:00,242,0,Win-Back Campaign,4.3149
83,12448.0,365.45,1,2011-10-26 13:46:00,43,1,Minimal Effort Group,3.6545
85,12450.0,197.88,2,2011-07-06 14:41:00,155,1,Minimal Effort Group,1.9788
87,12452.0,348.57,1,2011-11-23 08:05:00,16,1,Minimal Effort Group,3.4857
88,12453.0,707.09,1,2011-07-28 14:08:00,133,1,Minimal Effort Group,7.0709
92,12457.0,2043.23,6,2011-09-19 09:04:00,81,2,Loyal VIPs,20.4323
93,12458.0,787.4,2,2011-09-29 15:25:00,70,3,Upsell Potential,7.874
94,12461.0,626.88,1,2011-07-08 10:23:00,154,1,Minimal Effort Group,6.2688
95,12462.0,937.59,2,2011-02-09 14:44:00,302,0,Win-Back Campaign,9.3759
96,12463.0,1200.78,4,2011-06-17 14:28:00,174,3,Upsell Potential,12.0078
98,12465.0,682.1899999999999,2,2011-06-23 13:37:00,168,3,Upsell Potential,6.821899999999999
99,12468.0,657.54,2,2011-06-05 11:36:00,187,3,Upsell Potential,6.575399999999999
104,12475.0,669.38,1,2011-10-17 10:10:00,53,1,Minimal Effort Group,6.6937999999999995
107,12478.0,545.99,1,2011-12-06 09:56:00,3,1,Minimal Effort Group,5.4599
108,12479.0,473.2,1,2011-11-28 13:26:00,10,1,Minimal Effort Group,4.732
113,12488.0,1244.66,3,2011-09-25 10:34:00,75,3,Upsell Potential,12.4466
114,12489.0,298.93,1,2011-01-07 13:13:00,335,0,Win-Back Campaign,2.9893
116,12491.0,424.40000000000003,1,2011-11-01 12:18:00,37,1,Minimal Effort Group,4.244000000000001
117,12492.0,227.21,2,2011-08-26 14:51:00,104,1,Minimal Effort Group,2.2721
118,12493.0,379.74,2,2011-06-27 10:17:00,165,1,Minimal Effort Group,3.7974
119,12494.0,1084.1000000000001,7,2011-07-01 12:17:00,160,2,Loyal VIPs,10.841000000000001
120,12497.0,953.1,1,2011-09-19 12:29:00,80,1,Minimal Effort Group,9.531
121,12498.0,349.70000000000005,3,2011-11-18 12:53:00,20,1,Minimal Effort Group,3.4970000000000003
123,12501.0,2025.39,1,2011-01-07 12:28:00,335,0,Win-Back Campaign,20.2539
125,12504.0,428.04999999999995,2,2011-11-09 14:56:00,29,1,Minimal Effort Group,4.2805
126,12506.0,73.5,1,2011-04-21 08:54:00,232,0,Win-Back Campaign,0.735
127,12507.0,1052.81,3,2011-07-07 10:20:00,155,3,Upsell Potential,10.5281
128,12508.0,398.27,2,2011-11-13 15:37:00,25,1,Minimal Effort Group,3.9827
129,12509.0,158.5,1,2011-02-28 14:45:00,283,0,Win-Back Campaign,1.585
130,12510.0,814.5699999999999,2,2011-07-20 10:15:00,142,3,Upsell Potential,8.1457
131,12512.0,138.03,2,2011-10-04 14:55:00,65,1,Minimal Effort Group,1.3803
132,12513.0,558.29,1,2011-08-19 10:51:00,112,1,Minimal Effort Group,5.5828999999999995
133,12514.0,1017.68,1,2011-03-17 16:38:00,266,0,Win-Back Campaign,10.1768
134,12515.0,278.7,1,2010-12-21 15:43:00,352,0,Win-Back Campaign,2.787
135,12516.0,1186.06,2,2011-09-23 09:13:00,77,3,Upsell Potential,11.8606
137,12518.0,1840.89,5,2011-09-23 15:45:00,76,2,Loyal VIPs,18.408900000000003
138,12519.0,286.84,1,2011-10-07 09:26:00,63,1,Minimal Effort Group,2.8684
140,12521.0,545.68,1,2011-07-20 10:51:00,142,1,Minimal Effort Group,5.456799999999999
141,12522.0,156.72,2,2011-10-31 15:30:00,38,1,Minimal Effort Group,1.5672
144,12526.0,1172.66,3,2011-09-06 14:19:00,93,3,Upsell Potential,11.726600000000001
145,12527.0,330.71000000000004,3,2011-09-19 11:55:00,81,3,Upsell Potential,3.3071
146,12528.0,1645.48,6,2011-08-17 12:30:00,113,2,Loyal VIPs,16.4548
147,12530.0,1500.28,4,2011-08-08 10:59:00,123,2,Loyal VIPs,15.0028
148,12531.0,125.22,1,2011-11-25 11:12:00,14,1,Minimal Effort Group,1.2522
149,12532.0,313.83000000000004,1,2011-11-09 13:47:00,29,1,Minimal Effort Group,3.1383000000000005
150,12534.0,981.18,1,2011-08-01 10:26:00,130,3,Upsell Potential,9.8118
151,12535.0,716.35,2,2011-09-09 08:48:00,91,3,Upsell Potential,7.1635
153,12538.0,363.95,1,2011-11-10 17:16:00,28,1,Minimal Effort Group,3.6395
156,12541.0,841.18,3,2011-06-19 15:59:00,172,3,Upsell Potential,8.4118
157,12544.0,316.7,1,2011-11-03 16:15:00,35,1,Minimal Effort Group,3.167
158,12545.0,832.39,2,2011-09-25 13:39:00,74,3,Upsell Potential,8.3239
159,12546.0,1021.5,2,2011-09-23 09:44:00,77,3,Upsell Potential,10.215
160,12547.0,151.79999999999998,2,2011-05-26 12:38:00,196,0,Win-Back Campaign,1.5179999999999998
161,12548.0,67.19999999999999,1,2011-06-26 15:35:00,165,1,Minimal Effort Group,0.6719999999999999
162,12550.0,824.83,1,2011-09-21 14:35:00,78,1,Minimal Effort Group,8.2483
163,12551.0,168.0,1,2010-12-17 11:23:00,357,0,Win-Back Campaign,1.68
164,12552.0,317.82,1,2011-10-31 12:11:00,39,1,Minimal Effort Group,3.1782
166,12556.0,603.71,2,2011-07-11 13:35:00,150,3,Upsell Potential,6.037100000000001
168,12558.0,269.96,1,2011-12-02 10:41:00,7,1,Minimal Effort Group,2.6995999999999998
169,12559.0,525.71,2,2011-02-02 09:49:00,310,0,Win-Back Campaign,5.2571
170,12560.0,1918.01,2,2011-07-19 15:55:00,142,2,Loyal VIPs,19.1801
171,12561.0,238.85,1,2011-02-10 11:39:00,302,0,Win-Back Campaign,2.3885
173,12564.0,402.9,1,2011-03-23 14:55:00,260,0,Win-Back Campaign,4.029
174,12565.0,145.92,1,2011-02-24 10:34:00,288,0,Win-Back Campaign,1.4591999999999998
175,12566.0,297.65,1,2011-09-14 14:30:00,85,1,Minimal Effort Group,2.9764999999999997
178,12571.0,519.61,2,2011-08-10 12:35:00,120,1,Minimal Effort Group,5.1961
179,12572.0,912.42,2,2011-12-01 09:20:00,8,1,Minimal Effort Group,9.1242
180,12573.0,160.54000000000002,1,2011-04-26 15:52:00,226,0,Win-Back Campaign,1.6054000000000002
181,12574.0,182.45000000000002,1,2011-01-28 09:20:00,315,0,Win-Back Campaign,1.8245000000000002
182,12576.0,1315.83,5,2011-09-05 10:06:00,95,2,Loyal VIPs,13.158299999999999
183,12577.0,653.85,3,2010-12-15 16:21:00,358,0,Win-Back Campaign,6.5385
185,12579.0,386.42,1,2011-09-22 17:15:00,77,1,Minimal Effort Group,3.8642000000000003
186,12580.0,379.7,1,2011-04-07 10:24:00,246,0,Win-Back Campaign,3.7969999999999997
187,12581.0,179.71,1,2011-10-31 08:56:00,39,1,Minimal Effort Group,1.7971000000000001
188,12582.0,351.36,2,2011-04-15 08:45:00,238,0,Win-Back Campaign,3.5136000000000003
191,12585.0,1824.1,2,2011-04-19 13:39:00,233,3,Upsell Potential,18.241
192,12586.0,196.94000000000003,1,2011-11-22 16:24:00,16,1,Minimal Effort Group,1.9694000000000003
193,12587.0,104.0,1,2011-12-02 12:47:00,6,1,Minimal Effort Group,1.04
194,12588.0,174.89999999999998,1,2011-10-31 15:01:00,38,1,Minimal Effort Group,1.7489999999999997
195,12589.0,574.68,2,2011-07-18 12:05:00,144,3,Upsell Potential,5.7467999999999995
197,12591.0,368.85,1,2011-01-26 14:35:00,316,0,Win-Back Campaign,3.6885000000000003
198,12592.0,401.6,2,2011-09-08 15:04:00,91,1,Minimal Effort Group,4.016
199,12593.0,382.09999999999997,3,2011-08-23 12:43:00,107,3,Upsell Potential,3.8209999999999997
201,12596.0,450.27,2,2011-04-11 13:22:00,241,0,Win-Back Campaign,4.5027
204,12599.0,888.58,7,2011-08-05 12:38:00,125,2,Loyal VIPs,8.8858
206,12601.0,487.06,5,2011-06-03 10:17:00,189,3,Upsell Potential,4.8706
207,12602.0,153.12,1,2011-10-12 11:22:00,58,1,Minimal Effort Group,1.5312000000000001
208,12603.0,613.1999999999999,1,2011-11-18 10:42:00,21,1,Minimal Effort Group,6.132
209,12604.0,236.18,2,2011-09-21 14:08:00,78,1,Minimal Effort Group,2.3618
210,12607.0,1579.51,1,2011-10-10 16:06:00,59,3,Upsell Potential,15.7951
211,12609.0,964.85,3,2011-09-22 16:34:00,77,3,Upsell Potential,9.6485
212,12610.0,1747.54,4,2011-08-05 13:52:00,125,2,Loyal VIPs,17.4754
213,12611.0,1193.32,1,2011-10-18 13:12:00,51,3,Upsell Potential,11.9332
214,12612.0,668.0400000000001,1,2011-09-26 15:35:00,73,1,Minimal Effort Group,6.680400000000001
216,12614.0,315.6,1,2011-03-07 10:22:00,277,0,Win-Back Campaign,3.156
217,12615.0,2093.19,4,2011-09-29 10:23:00,71,2,Loyal VIPs,20.9319
218,12616.0,641.3,2,2011-09-05 15:17:00,94,1,Minimal Effort Group,6.412999999999999
219,12617.0,355.53,1,2011-11-10 14:39:00,28,1,Minimal Effort Group,3.5553
220,12618.0,137.31,1,2011-11-18 11:10:00,21,1,Minimal Effort Group,1.3731
222,12620.0,1303.41,3,2011-09-20 10:06:00,80,3,Upsell Potential,13.0341
224,12622.0,162.1,1,2011-04-21 16:39:00,231,0,Win-Back Campaign,1.621
225,12623.0,269.1,1,2011-03-08 13:50:00,275,0,Win-Back Campaign,2.6910000000000003
226,12624.0,569.13,2,2011-08-25 15:04:00,105,1,Minimal Effort Group,5.6913
230,12628.0,732.46,3,2011-12-05 13:15:00,3,3,Upsell Potential,7.3246
231,12630.0,1030.88,2,2011-11-30 10:48:00,9,3,Upsell Potential,10.308800000000002
232,12631.0,480.5,1,2011-10-13 13:53:00,56,1,Minimal Effort Group,4.805
233,12633.0,1929.98,4,2011-08-02 09:35:00,129,2,Loyal VIPs,19.2998
234,12635.0,1509.18,2,2011-09-11 11:04:00,89,3,Upsell Potential,15.091800000000001
236,12638.0,511.69,1,2011-11-06 13:11:00,32,1,Minimal Effort Group,5.1169
237,12639.0,366.1,1,2011-04-15 12:48:00,237,0,Win-Back Campaign,3.661
238,12640.0,994.58,3,2011-09-19 12:01:00,81,3,Upsell Potential,9.9458
239,12641.0,145.9,1,2011-08-16 13:26:00,114,1,Minimal Effort Group,1.459
240,12642.0,905.26,3,2011-08-24 09:23:00,107,3,Upsell Potential,9.0526
242,12644.0,477.91,1,2011-08-02 10:33:00,129,1,Minimal Effort Group,4.779100000000001
243,12645.0,1631.18,4,2011-08-22 12:40:00,108,2,Loyal VIPs,16.3118
244,12646.0,1346.97,2,2011-12-05 10:14:00,4,3,Upsell Potential,13.4697
246,12648.0,300.05,1,2011-07-08 11:55:00,154,1,Minimal Effort Group,3.0005
247,12649.0,569.51,3,2011-08-24 14:41:00,106,3,Upsell Potential,5.6951
248,12650.0,242.44000000000003,1,2011-12-06 16:34:00,2,1,Minimal Effort Group,2.4244000000000003
249,12651.0,114.0,1,2011-01-09 12:46:00,333,0,Win-Back Campaign,1.14
250,12652.0,793.98,1,2011-01-12 15:00:00,330,0,Win-Back Campaign,7.9398
251,12653.0,2209.85,2,2011-07-14 10:41:00,148,2,Loyal VIPs,22.098499999999998
252,12654.0,529.98,5,2011-05-26 10:43:00,197,3,Upsell Potential,5.2998
254,12657.0,1427.18,4,2011-09-22 11:40:00,78,2,Loyal VIPs,14.2718
255,12658.0,632.05,1,2011-11-21 10:22:00,18,1,Minimal Effort Group,6.320499999999999
256,12659.0,73.68,1,2011-11-10 11:53:00,29,1,Minimal Effort Group,0.7368000000000001
257,12660.0,227.1,1,2011-11-28 13:26:00,10,1,Minimal Effort Group,2.271
260,12665.0,45.0,1,2011-01-19 08:34:00,324,0,Win-Back Campaign,0.45
261,12667.0,460.13,1,2011-10-12 17:00:00,57,1,Minimal Effort Group,4.6013
263,12669.0,1427.73,2,2011-07-12 09:54:00,150,3,Upsell Potential,14.2773
265,12672.0,225.89999999999998,1,2011-01-14 09:20:00,329,0,Win-Back Campaign,2.259
266,12673.0,574.52,2,2011-12-04 13:55:00,4,1,Minimal Effort Group,5.7452
267,12674.0,1844.6,4,2011-09-09 10:51:00,91,2,Loyal VIPs,18.445999999999998
268,12676.0,1091.39,6,2011-09-30 09:25:00,70,2,Loyal VIPs,10.913900000000002
270,12679.0,951.02,4,2011-09-13 10:34:00,87,3,Upsell Potential,9.5102
271,12680.0,790.81,4,2011-09-27 12:53:00,72,3,Upsell Potential,7.908099999999999
275,12684.0,2073.63,6,2011-06-22 11:20:00,170,2,Loyal VIPs,20.7363
277,12686.0,71.14,1,2010-12-03 09:51:00,371,0,Win-Back Campaign,0.7114
279,12689.0,1139.61,2,2011-08-04 10:04:00,127,3,Upsell Potential,11.396099999999999
280,12690.0,335.01,1,2011-05-18 09:09:00,205,0,Win-Back Campaign,3.3501
281,12691.0,927.8,5,2011-07-17 14:56:00,144,2,Loyal VIPs,9.277999999999999
282,12693.0,711.91,4,2011-08-04 17:51:00,126,3,Upsell Potential,7.1190999999999995
283,12694.0,761.67,2,2011-09-30 13:06:00,69,3,Upsell Potential,7.6167
284,12695.0,582.1,4,2011-08-24 12:58:00,106,3,Upsell Potential,5.821000000000001
285,12697.0,757.59,3,2011-07-31 14:17:00,130,3,Upsell Potential,7.575900000000001
287,12701.0,725.71,2,2011-09-21 10:47:00,79,3,Upsell Potential,7.2571
288,12702.0,201.0,1,2011-11-20 10:36:00,19,1,Minimal Effort Group,2.01
289,12703.0,265.55,1,2011-09-29 17:52:00,70,1,Minimal Effort Group,2.6555
292,12707.0,603.42,1,2011-02-21 08:38:00,291,0,Win-Back Campaign,6.034199999999999
295,12710.0,1023.02,3,2011-09-04 12:00:00,96,3,Upsell Potential,10.2302
297,12713.0,794.55,1,2011-12-09 12:16:00,0,1,Minimal Effort Group,7.945499999999999
299,12715.0,273.86,1,2011-08-25 15:22:00,105,1,Minimal Effort Group,2.7386
300,12716.0,963.49,2,2011-07-29 13:28:00,132,3,Upsell Potential,9.6349
301,12717.0,830.98,2,2011-07-11 14:47:00,150,3,Upsell Potential,8.309800000000001
302,12718.0,202.25,1,2011-09-29 16:38:00,70,1,Minimal Effort Group,2.0225
303,12719.0,572.95,2,2011-12-04 13:45:00,4,1,Minimal Effort Group,5.729500000000001
306,12722.0,979.63,4,2011-09-15 14:50:00,84,3,Upsell Potential,9.7963
307,12723.0,707.07,5,2011-12-06 10:19:00,3,3,Upsell Potential,7.0707
308,12724.0,923.41,4,2011-09-19 12:36:00,80,3,Upsell Potential,9.2341
309,12725.0,371.8,1,2010-12-03 15:45:00,370,0,Win-Back Campaign,3.718
312,12728.0,728.33,4,2011-09-29 15:31:00,70,3,Upsell Potential,7.2833000000000006
313,12729.0,417.01,1,2011-08-18 11:40:00,113,1,Minimal Effort Group,4.1701
315,12732.0,218.26000000000002,1,2011-06-13 11:33:00,179,0,Win-Back Campaign,2.1826000000000003
316,12733.0,383.95,1,2011-04-19 16:19:00,233,0,Win-Back Campaign,3.8394999999999997
317,12734.0,110.39999999999999,1,2010-12-22 12:47:00,351,0,Win-Back Campaign,1.1039999999999999
318,12735.0,689.5699999999999,2,2011-01-06 14:26:00,336,0,Win-Back Campaign,6.8957
319,12736.0,144.0,1,2011-01-11 07:57:00,332,0,Win-Back Campaign,1.44
320,12738.0,137.35,1,2010-12-02 18:27:00,371,0,Win-Back Campaign,1.3735
321,12739.0,975.54,1,2011-09-01 17:45:00,98,1,Minimal Effort Group,9.7554
322,12740.0,427.6,1,2011-10-07 10:44:00,63,1,Minimal Effort Group,4.276
323,12743.0,546.43,2,2011-07-28 16:21:00,133,3,Upsell Potential,5.4643
328,12750.0,275.88,1,2011-08-03 09:13:00,128,1,Minimal Effort Group,2.7588
333,12756.0,112.07999999999998,1,2011-09-14 09:31:00,86,1,Minimal Effort Group,1.1207999999999998
336,12759.0,1411.44,3,2011-06-21 09:26:00,171,3,Upsell Potential,14.1144
337,12762.0,1702.52,2,2011-12-02 10:23:00,7,3,Upsell Potential,17.025199999999998
338,12763.0,494.08,2,2011-07-24 14:12:00,137,1,Minimal Effort Group,4.940799999999999
339,12764.0,1693.88,1,2011-01-27 10:19:00,316,0,Win-Back Campaign,16.9388
341,12769.0,1143.6,1,2011-04-15 10:25:00,238,0,Win-Back Campaign,11.436
342,12770.0,1351.45,1,2011-05-13 09:33:00,210,3,Upsell Potential,13.5145
343,12772.0,752.47,1,2011-10-11 09:19:00,59,1,Minimal Effort Group,7.5247
344,12775.0,1281.04,5,2011-06-03 07:48:00,189,2,Loyal VIPs,12.8104
345,12778.0,693.23,6,2011-06-09 15:29:00,182,2,Loyal VIPs,6.932300000000001
347,12781.0,786.74,2,2011-02-28 08:43:00,284,0,Win-Back Campaign,7.8674
348,12782.0,1938.92,5,2011-07-13 10:30:00,149,2,Loyal VIPs,19.389200000000002
349,12783.0,1295.87,4,2011-09-25 15:35:00,74,2,Loyal VIPs,12.958699999999999
350,12784.0,518.42,1,2011-11-24 12:53:00,14,1,Minimal Effort Group,5.1842
351,12785.0,255.95,1,2010-12-10 13:48:00,363,0,Win-Back Campaign,2.5595
352,12787.0,418.66,3,2011-09-09 12:24:00,90,3,Upsell Potential,4.1866
353,12789.0,76.85,1,2011-10-05 13:34:00,64,1,Minimal Effort Group,0.7685
354,12790.0,294.92,1,2011-05-31 14:14:00,191,0,Win-Back Campaign,2.9492000000000003
355,12791.0,177.60000000000002,1,2010-12-01 11:27:00,373,0,Win-Back Campaign,1.7760000000000002
356,12792.0,344.53999999999996,1,2011-03-28 11:36:00,256,0,Win-Back Campaign,3.4454
357,12793.0,461.48,2,2010-12-03 15:14:00,370,0,Win-Back Campaign,4.6148
358,12794.0,860.41,2,2011-09-02 12:01:00,98,3,Upsell Potential,8.604099999999999
359,12795.0,318.48,1,2011-11-21 10:27:00,18,1,Minimal Effort Group,3.1848
360,12797.0,226.03,1,2010-12-09 10:55:00,365,0,Win-Back Campaign,2.2603
362,12802.0,397.58,1,2011-06-06 09:36:00,186,0,Win-Back Campaign,3.9758
363,12808.0,455.65000000000003,3,2011-06-08 12:21:00,183,3,Upsell Potential,4.556500000000001
364,12809.0,405.31,1,2011-06-15 10:51:00,177,0,Win-Back Campaign,4.0531
365,12811.0,458.85,2,2011-03-23 10:55:00,261,0,Win-Back Campaign,4.5885
366,12812.0,229.64000000000001,1,2011-10-26 09:54:00,44,1,Minimal Effort Group,2.2964
367,12814.0,85.92,1,2011-08-30 12:11:00,101,1,Minimal Effort Group,0.8592
368,12815.0,863.46,2,2011-07-15 10:21:00,147,3,Upsell Potential,8.6346
369,12816.0,452.20000000000005,2,2011-09-05 12:41:00,94,1,Minimal Effort Group,4.522
370,12817.0,126.03999999999999,1,2011-03-03 16:28:00,280,0,Win-Back Campaign,1.2604
371,12818.0,1182.0800000000002,1,2011-03-23 12:06:00,261,0,Win-Back Campaign,11.820800000000002
372,12820.0,942.34,4,2011-09-26 11:49:00,74,3,Upsell Potential,9.4234
373,12821.0,92.72,1,2011-05-09 15:51:00,213,0,Win-Back Campaign,0.9272
374,12822.0,948.88,2,2011-09-30 10:04:00,70,3,Upsell Potential,9.4888
375,12823.0,1759.5,5,2011-09-26 07:35:00,74,2,Loyal VIPs,17.595
376,12824.0,397.12,1,2011-10-11 12:49:00,58,1,Minimal Effort Group,3.9712
377,12826.0,1474.72,7,2011-09-29 10:55:00,71,2,Loyal VIPs,14.7472
378,12827.0,430.15000000000003,3,2011-12-04 12:17:00,4,1,Minimal Effort Group,4.301500000000001
379,12828.0,1018.71,6,2011-09-01 17:14:00,98,2,Loyal VIPs,10.187100000000001
380,12829.0,293.0,2,2010-12-14 14:54:00,359,0,Win-Back Campaign,2.93
382,12831.0,215.05,1,2011-03-22 13:02:00,261,0,Win-Back Campaign,2.1505
383,12832.0,383.03,2,2011-09-02 13:48:00,97,1,Minimal Effort Group,3.8303
384,12833.0,417.38,1,2011-07-17 13:46:00,144,1,Minimal Effort Group,4.1738
385,12834.0,312.38,1,2011-03-02 09:49:00,282,0,Win-Back Campaign,3.1238
387,12837.0,134.1,1,2011-06-19 16:07:00,172,0,Win-Back Campaign,1.341
388,12838.0,683.13,2,2010-12-01 11:57:00,373,0,Win-Back Campaign,6.8313
392,12842.0,1118.99,2,2011-09-30 15:33:00,69,3,Upsell Potential,11.1899
394,12844.0,325.96000000000004,2,2011-08-01 13:11:00,129,1,Minimal Effort Group,3.2596000000000003
395,12845.0,354.09,4,2011-03-17 13:34:00,266,0,Win-Back Campaign,3.5408999999999997
396,12847.0,871.54,1,2011-11-17 13:16:00,21,1,Minimal Effort Group,8.715399999999999
397,12849.0,1033.25,2,2011-03-16 12:26:00,267,0,Win-Back Campaign,10.3325
398,12851.0,135.18,1,2011-09-04 12:41:00,95,1,Minimal Effort Group,1.3518000000000001
399,12852.0,311.55,1,2011-02-18 08:47:00,294,0,Win-Back Campaign,3.1155
400,12853.0,1957.1000000000001,6,2011-07-28 11:29:00,134,2,Loyal VIPs,19.571
401,12854.0,1324.5,3,2011-09-22 12:15:00,78,3,Upsell Potential,13.245
402,12855.0,38.1,1,2010-12-02 09:37:00,372,0,Win-Back Campaign,0.381
403,12856.0,2179.93,6,2011-12-02 10:52:00,7,2,Loyal VIPs,21.7993
404,12857.0,1106.4,2,2011-05-13 10:20:00,210,3,Upsell Potential,11.064
405,12863.0,521.2,1,2011-10-18 14:15:00,51,1,Minimal Effort Group,5.212000000000001
406,12864.0,147.12,1,2011-07-24 13:03:00,137,1,Minimal Effort Group,1.4712
407,12865.0,1568.23,2,2011-08-08 10:11:00,123,3,Upsell Potential,15.6823
408,12866.0,499.12,1,2011-03-01 14:11:00,282,0,Win-Back Campaign,4.9912
410,12868.0,1607.0600000000002,6,2011-06-07 10:42:00,185,2,Loyal VIPs,16.070600000000002
411,12871.0,380.64,2,2011-09-16 15:07:00,83,1,Minimal Effort Group,3.8064
412,12872.0,599.97,2,2010-12-09 14:44:00,364,0,Win-Back Campaign,5.999700000000001
413,12873.0,374.0,1,2011-03-02 14:58:00,281,0,Win-Back Campaign,3.74
414,12875.0,343.2300000000001,2,2011-07-19 15:30:00,142,1,Minimal Effort Group,3.4323000000000006
415,12876.0,2053.02,2,2011-05-27 13:34:00,195,2,Loyal VIPs,20.5302
417,12878.0,854.99,2,2011-04-17 13:07:00,235,0,Win-Back Campaign,8.549900000000001
418,12879.0,573.22,3,2011-09-09 12:11:00,91,3,Upsell Potential,5.732200000000001
419,12881.0,298.0,1,2011-03-09 11:44:00,275,0,Win-Back Campaign,2.98
